# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = code_1_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
# id = 1
# data
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\reep_dqc.json
# init = 2 (Default)
# random
#   seed = 48138
# output
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\code_1-202104142005-1-pqvw005k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.1
# stancflags = 
lp__,accept_stat__,lambda,y_sim.1,y_sim.2,y_sim.3,y_sim.4,y_sim.5,y_sim.6
0,0,91.1205,87,83,82,91,88,100
0,0,64.5157,79,62,59,60,61,64
0,0,172.938,172,163,183,177,180,163
0,0,119.392,107,117,133,122,115,119
0,0,18.905,19,18,22,19,17,21
0,0,209.748,192,202,209,191,201,198
0,0,67.0843,64,86,68,67,63,70
0,0,114.801,137,123,123,81,118,127
0,0,27.4942,27,25,18,31,26,40
0,0,189.983,202,205,229,181,187,188
0,0,65.6269,76,63,71,66,60,58
0,0,46.3835,44,41,43,58,40,58
0,0,62.7441,72,54,69,41,54,64
0,0,141.533,138,111,135,123,141,151
0,0,151.787,151,138,160,151,167,119
0,0,139.145,133,148,143,134,116,137
0,0,83.2244,83,83,96,70,108,80
0,0,16.4757,20,19,19,18,16,20
0,0,208.269,190,233,207,209,206,205
0,0,20.3774,23,31,23,19,26,17
0,0,43.4834,45,39,42,45,46,51
0,0,52.2074,57,54,51,61,54,54
0,0,236.447,231,269,236,224,225,244
0,0,85.1824,81,62,96,82,88,82
0,0,150.488,134,162,141,166,145,136
0,0,5.02991,5,1,5,6,2,3
0,0,35.9212,57,39,27,42,51,28
0,0,40.7919,42,45,54,44,43,41
0,0,198.877,198,205,210,219,201,179
0,0,83.3255,85,102,85,85,80,102
0,0,34.3941,38,30,29,39,41,31
0,0,55.5821,62,52,44,53,54,40
0,0,133.342,145,130,162,151,137,149
0,0,91.288,92,90,94,96,81,88
0,0,113.565,102,132,118,115,109,117
0,0,119.076,121,108,118,138,120,99
0,0,25.2527,23,25,28,30,23,25
0,0,136.705,147,127,153,131,137,139
0,0,67.0033,59,81,95,68,77,64
0,0,93.2159,95,84,116,92,70,85
0,0,67.5108,60,69,59,78,70,66
0,0,60.8965,64,80,62,68,62,71
0,0,190.47,188,173,184,196,191,209
0,0,66.6112,68,76,62,63,72,57
0,0,55.9002,54,67,56,43,48,56
0,0,67.051,71,78,55,78,60,64
0,0,145.529,163,140,141,140,163,155
0,0,82.5992,84,81,85,91,94,79
0,0,70.1602,70,73,63,83,73,59
0,0,71.2236,83,71,76,86,68,79
0,0,218.006,238,201,217,234,221,208
0,0,116.897,147,105,119,125,143,131
0,0,110.693,117,118,114,99,109,115
0,0,178.183,190,180,193,187,200,203
0,0,95.5766,103,92,94,101,94,84
0,0,17.1476,13,17,23,17,13,27
0,0,29.3621,29,39,29,35,26,31
0,0,46.1376,53,53,32,53,41,49
0,0,84.8202,82,80,95,98,99,94
0,0,150.6,138,172,146,157,161,163
0,0,141.477,143,136,160,141,151,134
0,0,152.447,139,165,170,172,154,149
0,0,188.369,176,185,176,198,185,205
0,0,61.9802,57,74,62,68,55,62
0,0,55.2427,50,58,79,42,58,62
0,0,134.392,138,140,146,144,159,123
0,0,41.0184,42,38,40,31,43,45
0,0,12.3692,12,12,9,15,12,12
0,0,187.49,190,189,181,175,190,196
0,0,154.643,135,134,140,178,162,154
0,0,114.357,110,109,109,108,110,112
0,0,34.7911,30,36,35,33,36,29
0,0,147.731,148,144,138,131,152,133
0,0,367.596,405,377,345,350,375,401
0,0,194.115,181,214,220,193,200,216
0,0,124.1,119,129,111,129,123,120
0,0,110.521,119,104,96,113,93,103
0,0,254.428,276,240,236,245,249,269
0,0,8.64177,11,11,8,10,8,8
0,0,53.9327,54,56,55,47,60,53
0,0,21.0773,27,17,20,18,22,18
0,0,197.343,201,209,199,212,214,220
0,0,232.444,244,242,220,224,217,211
0,0,110.445,110,117,103,115,111,125
0,0,110.866,115,126,112,97,102,114
0,0,117.946,93,138,113,104,121,104
0,0,71.1474,68,65,75,59,79,68
0,0,15.8109,17,19,14,13,18,13
0,0,28.6717,29,27,36,27,35,36
0,0,241.331,254,236,237,239,239,235
