# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = code_7_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\xh4y1tq_.json
# init = 2 (Default)
# random
#   seed = 95995116
# output
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\code_7-202104142101-1-gl_2kbxb.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y.1,y.2,y.3,y.4,y.5,y.6,theta
# Adaptation terminated
# Step size = 0.325701
# Diagonal elements of inverse mass matrix:
# 1.76079, 1.79981, 1.74842, 1.74726, 1.53169, 1.82751, 0.914553
-2.47243,0.876453,0.325701,3,7,0,5.71166,-0.823209,0.459654,-1.19406,0.980028,0.490461,1.19014,-0.0056544
-2.09151,0.957661,0.325701,3,15,0,3.89545,0.900485,-0.277774,0.620785,-1.20707,-0.957137,-1.01416,-0.198251
-1.45034,0.998208,0.325701,3,15,0,4.22931,0.619037,0.914033,-0.178596,1.81836,0.0198374,0.557928,0.612885
-0.909722,0.962288,0.325701,3,7,0,2.23343,1.03546,0.634669,0.173881,0.973802,-0.223933,1.03612,0.385126
-1.6886,0.92892,0.325701,3,7,0,2.54092,0.698194,0.827536,1.51218,-0.148376,0.325313,-0.193001,0.0429897
-4.01636,0.945187,0.325701,3,7,0,5.75101,0.215217,-1.24715,-0.254454,1.04311,-1.28564,1.75612,0.312437
-1.40727,0.981852,0.325701,3,7,0,5.72606,-0.146911,-0.608643,-0.584072,1.12678,-0.667383,-0.761103,-0.391183
-3.6259,0.91034,0.325701,3,7,0,6.17805,-0.18111,1.29774,-0.726735,1.28395,-0.0115409,-1.64404,0.308562
-3.54311,1,0.325701,4,15,0,6.60738,-0.108823,-1.54835,0.437294,-1.35932,0.266584,1.45872,0.156598
-4.97639,0.978851,0.325701,4,15,0,6.57211,1.96446,0.0597693,1.31291,-0.747568,2.31784,2.13487,1.37681
-3.45296,1,0.325701,3,15,0,6.03886,2.46088,0.665737,1.4582,0.592638,2.48079,2.28142,1.10739
-3.46621,0.937526,0.325701,4,15,0,6.24338,-0.74837,1.61553,0.177437,0.992672,-0.820084,-0.338928,-0.418112
-4.42826,0.987782,0.325701,3,7,0,6.46506,-1.41748,-0.281523,-0.0861606,1.41262,-0.264259,-1.71327,0.267708
-2.91483,0.954343,0.325701,3,15,0,8.7637,-2.00954,-1.27993,-0.28346,-1.45775,0.20427,-0.0737848,-1.13606
-1.42433,0.988791,0.325701,3,15,0,4.40782,-0.274546,-0.786595,-1.14396,0.10584,-1.11758,-0.675847,-0.126201
-1.67899,0.966314,0.325701,3,7,0,3.85753,-1.63237,-1.36351,-0.152394,-1.70175,-0.519599,-0.318992,-0.658585
-5.05595,0.75466,0.325701,3,7,0,8.55357,-1.14448,-1.51212,0.417867,-1.31279,-0.657557,-2.73361,-1.70879
-2.23341,0.974224,0.325701,3,7,0,9.17322,-1.97637,-1.65721,-0.407236,-0.994911,-2.21061,-1.52602,-1.00343
-1.82991,0.971425,0.325701,3,7,0,4.5134,-0.873917,-0.103594,-1.11709,-0.768099,-2.15576,-1.35722,-1.13922
-4.43635,0.674222,0.325701,4,15,0,8.46381,-0.135369,-0.109348,-0.36801,0.0903865,1.17792,0.33148,-0.883032
-0.643188,0.979756,0.325701,2,7,0,5.59717,-0.575781,0.613369,0.523795,-0.422706,0.412937,0.0847978,0.0622738
-3.00638,0.891977,0.325701,3,7,0,3.90401,0.1251,-0.717246,1.22083,1.34002,0.297763,-1.28825,0.428843
-3.70203,0.960657,0.325701,3,7,0,5.81521,-0.689248,0.180345,-1.85695,-1.8967,-1.03799,0.789868,-0.255975
-2.69032,0.986057,0.325701,3,7,0,6.69792,-0.102968,0.343507,-2.23795,-0.782386,0.19272,0.0324191,-0.638978
-6.57971,0.823774,0.325701,3,7,0,8.73077,-0.739735,-0.326689,0.628268,-0.565623,-2.98427,-2.36443,-0.246404
-2.84341,1,0.325701,3,7,0,9.45723,-0.776147,-0.622864,-0.39841,-1.1509,-0.110507,1.02288,-0.917272
-1.21509,0.999108,0.325701,3,15,0,3.92431,-0.781503,-1.01295,-1.38186,-0.170951,-1.76418,-1.06645,-0.79208
-0.899484,0.952218,0.325701,3,7,0,3.98511,-0.935389,-0.79861,-0.595675,-1.76826,-0.40092,-0.785947,-0.707025
-3.19515,0.936008,0.325701,3,7,0,3.76012,-0.106448,0.626203,-1.62046,-0.60044,-1.83147,-1.88489,-0.976097
-2.3643,0.995901,0.325701,4,15,0,6.06503,-0.535753,-0.876762,1.48077,0.360082,1.28922,0.631595,0.230121
-1.49798,0.926694,0.325701,3,15,0,6.7181,0.158005,-1.00725,0.671366,-0.15423,1.12816,-0.0879312,0.298673
-2.38877,0.96662,0.325701,4,15,0,4.7203,0.244691,-0.561796,-0.899773,-1.40479,-2.25152,-1.12896,-1.10289
-2.29842,0.836228,0.325701,3,7,0,5.80929,-1.71095,-0.368173,-0.0274406,-0.416327,0.0314724,-0.927062,-1.04498
-4.69196,0.951063,0.325701,3,7,0,7.35598,-2.37942,0.760748,-1.35791,0.844715,-0.499057,-1.10522,-0.135592
-3.56254,0.942393,0.325701,3,7,0,7.15059,0.799429,0.456567,-0.164279,-1.70788,-0.743681,-0.363913,-0.908787
-1.55846,0.99362,0.325701,3,11,0,5.5708,-1.13056,-1.83669,-1.65811,-1.12039,-1.30726,-1.46611,-1.58931
-2.70357,0.946364,0.325701,4,15,0,4.53881,0.173587,0.697685,-0.185987,2.64418,0.558811,0.696498,0.754577
-3.07458,0.972522,0.325701,3,7,0,6.39175,2.07386,2.26599,1.33134,-0.475856,1.10503,1.38825,1.13851
-3.02502,0.983891,0.325701,5,31,0,7.40612,-2.10114,-1.96691,-1.13189,0.474549,-0.508928,-1.5524,-1.12589
-4.08044,0.829696,0.325701,4,23,0,5.82376,0.432508,0.493675,1.43159,2.95182,1.34296,0.870779,0.478176
-3.19597,0.99169,0.325701,4,23,0,8.11755,0.209601,0.237592,-0.535014,-2.06322,-0.767201,-0.15453,-1.03476
-3.52674,0.995144,0.325701,3,7,0,5.77468,-1.02851,-2.33474,0.167957,-0.87446,-0.751944,-2.42755,-0.697397
-8.24343,0.796643,0.325701,2,3,0,10.0384,-2.08626,-3.84843,0.61256,0.0916353,-0.747937,-1.49519,-1.61858
-2.92762,1,0.325701,3,7,0,10.0244,-0.210615,-0.948641,-2.30849,-1.63744,-2.35736,-1.44039,-1.56265
-0.893562,0.896324,0.325701,4,15,0,6.61127,0.716946,0.225816,0.126795,0.00664517,-0.254496,-0.977138,-0.186904
-2.85182,0.880969,0.325701,3,7,0,4.45673,-0.491923,-0.993612,-1.36818,1.24067,0.826759,-0.154346,0.128095
-5.0048,0.915727,0.325701,3,15,0,6.67938,0.37397,-0.313033,0.177231,-2.43477,-2.0766,0.296512,-1.05671
-2.65546,0.969192,0.325701,3,7,0,8.73462,0.126928,-0.508691,-0.687798,-1.988,-1.39918,-0.257949,-1.17525
-3.97408,0.989063,0.325701,3,7,0,6.01706,-0.765186,-1.27799,-0.19731,-1.83303,-3.139,-0.748416,-0.764868
-2.9255,0.958246,0.325701,4,15,0,7.0976,-0.968461,-1.14224,-0.794697,-3.10146,-1.54874,-1.89129,-1.21259
-4.25732,0.996333,0.325701,4,23,0,6.96037,1.01365,2.52511,3.62407,2.31606,1.6428,2.60477,1.87997
-6.23713,0.930753,0.325701,3,7,0,10.671,1.62028,3.55044,4.2813,2.12339,1.28648,2.63958,2.08884
-9.42785,0.879125,0.325701,4,23,0,14.2538,1.29908,-1.45219,-4.06926,-0.220876,0.68585,-0.829607,-0.861879
-3.72017,0.979431,0.325701,3,7,0,11.6436,-2.78649,-0.987671,0.193433,-0.554529,-1.32327,-0.352002,-0.398532
-2.25673,1,0.325701,3,7,0,5.49678,-0.723812,-0.464489,-2.67671,-1.42546,-0.924039,-0.603796,-0.974299
-2.33209,0.990566,0.325701,4,23,0,4.47266,2.56488,1.63764,2.06866,1.29081,0.572266,1.46049,1.22481
-2.17092,0.958626,0.325701,4,31,0,4.01802,-0.511455,-0.536861,-0.484827,-1.75814,-2.15788,-1.38853,-1.25981
-2.73625,1,0.325701,3,7,0,3.70778,-1.78876,-2.3391,-2.47977,-0.265246,-1.50145,-1.49564,-1.44197
-3.72004,0.899327,0.325701,3,7,0,7.83074,-1.30486,-2.84045,-2.50942,-0.516022,-2.22184,-0.670378,-1.27456
-4.0056,0.935976,0.325701,4,23,0,9.44057,1.58363,0.381711,0.257412,2.75232,2.19005,2.50381,1.41098
-3.84538,0.85702,0.325701,3,15,0,8.29792,1.69818,1.24541,0.832206,2.81438,2.71836,1.96995,1.14149
-3.34355,0.991568,0.325701,4,31,0,6.09699,0.400206,1.53885,0.985681,-0.894537,-0.0836977,-0.882755,0.653746
-3.04626,0.996907,0.325701,3,7,0,5.38382,-0.330644,0.70608,1.22313,-0.0610298,0.747459,-1.51994,-0.304674
-4.9574,0.971619,0.325701,3,7,0,8.41699,-2.27853,-0.918874,-0.53673,-0.530334,1.77098,-1.3359,-0.284293
-6.8468,0.740703,0.325701,3,7,0,11.616,-0.384939,-0.602976,-1.43354,0.741825,1.1008,-1.03765,-1.34328
-6.45549,0.938548,0.325701,3,11,0,12.8481,2.12194,1.09227,1.98208,-0.918451,-1.03181,1.59031,0.131461
-2.0742,0.699267,0.325701,3,7,0,11.6945,-0.0777114,-0.672777,0.846153,-0.484702,0.814075,1.52483,0.0735694
-2.91219,0.995816,0.325701,3,7,0,4.18121,0.228655,-0.783487,0.376259,-0.196915,1.85189,1.67522,0.601892
-4.32044,0.79128,0.325701,4,23,0,8.44772,-0.366737,1.20665,2.21787,0.548566,2.63348,0.200903,0.586066
-3.96453,0.990558,0.325701,3,7,0,6.86462,2.43521,2.24806,0.734532,1.18646,-0.131889,1.59665,1.6502
-2.62154,0.998203,0.325701,4,31,0,7.19101,-2.10579,-1.21538,-0.223662,-1.26153,0.654183,-1.04785,-0.680679
-1.31097,0.980519,0.325701,3,7,0,4.1732,-1.07832,-0.532864,-1.11637,0.242341,-1.16078,-0.251473,-0.856686
-1.61373,0.948467,0.325701,4,23,0,2.91658,0.282735,0.383051,1.31011,-0.0789136,1.72735,0.372538,0.821066
-3.20228,0.965904,0.325701,3,7,0,4.3844,0.00588977,0.503552,0.82357,2.59537,-0.0870917,-0.185786,0.228564
-1.35833,0.927106,0.325701,4,15,0,7.64649,0.306844,-0.736552,-0.115086,-1.62856,-1.0318,-0.280001,-0.528892
-6.93588,0.862361,0.325701,3,7,0,8.03759,-0.809648,0.393686,-2.20183,2.70261,-0.116766,-0.990889,-0.241016
-1.6117,0.998282,0.325701,3,7,0,7.66473,0.233182,0.594969,1.09868,-1.07877,-0.645164,-0.00824216,0.0968004
-4.13503,0.931142,0.325701,3,7,0,5.84312,0.45681,-0.184515,-0.315985,2.74116,0.704134,1.94102,0.582831
-1.62534,0.94548,0.325701,3,7,0,8.00149,0.658798,0.131872,0.277996,0.257108,1.782,1.10399,0.26453
-2.78398,0.914169,0.325701,4,23,0,4.94223,1.06546,0.462391,0.519111,1.66466,-0.323778,2.43123,0.833547
-2.4661,0.891985,0.325701,4,23,0,6.84922,0.230987,-0.270504,0.860424,-0.314945,-0.12254,1.47148,0.835375
-2.11042,0.940776,0.325701,3,15,0,10.0576,-0.185406,-1.2173,-0.0469009,-1.20116,-0.852099,-1.97954,-0.422873
-2.95882,0.990316,0.325701,3,15,0,5.12356,-0.0558176,0.894932,-0.898621,-0.87754,0.222608,1.91987,0.20633
-2.40907,0.917506,0.325701,3,7,0,4.72841,0.716582,-0.0540493,0.499894,1.59956,0.124526,-0.312991,0.944077
-4.42145,0.782948,0.325701,3,7,0,6.74199,1.81545,-0.075792,1.28418,1.29592,-0.488825,1.28902,-0.0298805
-4.80019,0.982485,0.325701,3,7,0,8.21083,-0.622544,1.50243,0.0073854,0.193428,1.89043,0.0469722,-0.383304
-4.96866,0.954564,0.325701,3,7,0,9.61832,2.75121,0.590125,2.33689,1.90128,0.0884643,2.16332,0.861466
-1.94539,1,0.325701,3,7,0,5.16426,0.47061,1.74462,0.985811,1.12236,0.680647,0.941599,1.39636
-3.37937,0.969057,0.325701,3,7,0,6.19457,1.52498,2.08878,0.85415,1.62628,2.55558,-0.284096,1.30327
-5.23588,0.860822,0.325701,4,15,0,8.48168,0.51518,4.1081,1.69303,1.74546,1.19167,1.11576,1.60777
-4.31753,0.965656,0.325701,3,7,0,7.9425,1.4896,2.79015,2.28577,2.36056,1.55807,-0.300028,1.31691
-5.84265,0.741607,0.325701,3,7,0,8.65847,1.5496,1.92493,2.94893,1.6591,1.306,0.701359,2.40327
-4.68365,0.949835,0.325701,4,15,0,10.6541,1.97153,1.70737,0.937245,2.04244,2.29987,2.97218,2.43398
-8.58643,0.951315,0.325701,3,7,0,9.5146,3.53736,3.05102,0.88257,2.50331,1.04251,4.07163,1.48322
-2.68358,1,0.325701,4,15,0,10.5026,-0.121194,2.0546,1.36955,1.94318,1.72054,0.347979,0.967889
-1.97493,0.936038,0.325701,3,7,0,6.87607,0.734542,-0.315359,1.30459,-0.131397,-0.667796,1.20293,0.0818412
-4.39723,0.820683,0.325701,3,7,0,7.17181,-0.93872,0.764028,0.100247,1.579,-1.09037,-1.92535,-0.407349
-2.57622,0.994798,0.325701,3,7,0,5.82305,-0.969029,0.440189,-0.787824,1.5108,-0.782227,-0.564609,-0.39632
-3.38734,0.997184,0.325701,4,23,0,4.41137,-0.827345,-2.23636,-1.05532,-3.20905,-1.0682,-1.21832,-1.56534
-6.52955,0.791797,0.325701,4,15,0,9.79552,0.105578,-2.58784,-1.58905,-3.00719,-2.55362,-2.07612,-2.38322
-9.17673,0.806358,0.325701,4,15,0,15.7072,-5.18118,-2.41008,-3.85723,-3.03272,-2.9531,-3.9823,-2.45363
-7.87711,0.767863,0.325701,3,7,0,15.1414,-2.92956,-2.84512,-3.24645,-3.03426,-3.31504,-5.19375,-2.43366
-4.50068,1,0.325701,3,7,0,8.39235,-2.67758,-2.53474,-3.22482,-2.323,-2.65156,-2.37703,-2.85817
-3.8961,0.996695,0.325701,4,15,0,5.68324,-2.50493,-2.58402,-1.00943,-2.33052,-3.1562,-2.84622,-2.1681
-2.28891,0.931228,0.325701,3,7,0,5.82403,-1.63743,-2.04264,-1.48636,-2.29994,-2.09419,-1.38043,-1.17851
-1.72929,0.831271,0.325701,3,15,0,6.30272,-1.12632,-0.40298,-0.939704,-0.476812,-0.01993,-2.15428,-0.785996
-2.31375,0.988944,0.325701,3,15,0,3.62939,-1.21475,-0.683033,-0.591594,0.225634,0.888599,-1.68087,-0.459517
-4.4381,0.833787,0.325701,4,23,0,6.19114,1.69227,0.0841574,1.35036,0.625087,-0.388683,2.6747,0.370613
-3.83788,0.99154,0.325701,3,7,0,8.84882,0.203758,1.81897,1.87452,-0.562562,-0.245505,1.93952,0.920452
-3.71998,0.9938,0.325701,3,15,0,7.27222,-0.133025,1.82782,2.67892,0.470366,1.20263,2.16336,1.33602
-2.91757,0.820751,0.325701,3,7,0,6.72996,2.13391,1.8001,2.25744,0.26438,1.72811,2.14447,1.20043
-2.67031,0.98279,0.325701,3,7,0,4.86835,1.15023,0.75223,2.51002,0.662028,2.40113,1.57944,1.4479
