# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = code_7_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\xh4y1tq_.json
# init = 2 (Default)
# random
#   seed = 95995116
# output
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\code_7-202104142101-2-y9hna3_w.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y.1,y.2,y.3,y.4,y.5,y.6,theta
# Adaptation terminated
# Step size = 0.364041
# Diagonal elements of inverse mass matrix:
# 2.41129, 1.9095, 2.06841, 1.96045, 2.23351, 1.99476, 1.02369
-4.73059,0.908152,0.364041,3,7,0,8.36187,-1.51729,1.06555,-2.14848,0.0381068,-1.74895,0.45281,-0.355177
-3.11282,0.974631,0.364041,3,7,0,8.63709,0.923368,-0.366346,2.14841,-0.742996,0.593179,-0.421352,0.470694
-1.00279,0.974332,0.364041,3,7,0,5.32684,-1.00138,0.730991,0.0888426,-0.359219,-0.529465,-0.709288,-0.245742
-4.22011,0.903601,0.364041,3,7,0,4.99539,1.61789,-0.0363269,-0.695369,-2.37023,-0.620088,-0.641564,-0.40203
-3.90961,0.843269,0.364041,3,7,0,6.61513,-1.95366,0.541802,-0.303778,0.713915,-0.103339,-0.150568,0.507107
-4.33663,0.989483,0.364041,3,7,0,6.60784,1.00941,0.740741,-1.53598,1.10709,-1.02789,0.0693119,-0.54319
-6.53992,0.986423,0.364041,3,15,0,10.1967,0.617588,0.958025,3.28668,0.40938,3.74292,2.13446,1.61248
-6.53992,0.505852,0.364041,2,3,0,10.4186,0.617588,0.958025,3.28668,0.40938,3.74292,2.13446,1.61248
-9.71317,0.942609,0.364041,3,7,0,11.6866,1.35316,1.62764,2.66923,-1.03819,4.49856,2.09393,1.68984
-6.81719,0.979804,0.364041,3,7,0,14.1917,0.480356,0.343486,0.733192,3.25737,-1.84491,0.857377,0.432691
-3.60795,1,0.364041,3,7,0,8.50558,0.109029,1.66698,0.0862806,2.39309,-0.549262,-0.224772,0.597385
-3.82646,0.96987,0.364041,3,15,0,7.56383,-0.576661,-1.72595,-0.250241,-2.65346,0.404102,0.0219183,-0.46293
-1.96783,0.992297,0.364041,3,7,0,6.57263,-0.86777,-0.339247,0.313915,1.2666,0.589747,-0.996973,0.0526736
-4.95364,0.724915,0.364041,3,7,0,11.3184,-1.31173,-1.00958,-2.65006,-0.621774,1.03706,-1.35155,-1.35686
-5.28051,0.986469,0.364041,3,7,0,9.51495,-3.32941,-3.18488,-1.48975,-3.2821,-3.49623,-3.05971,-2.36654
-3.99654,0.972848,0.364041,3,7,0,7.73486,-3.44804,-2.93121,-2.51882,-1.5157,-1.59127,-2.42206,-2.23267
-3.0028,0.895201,0.364041,3,7,0,5.39155,-1.36317,-1.53652,-2.66106,-1.6817,-2.83475,-2.463,-1.60623
-4.0569,0.9503,0.364041,3,7,0,5.28233,-3.1529,-2.16119,-2.61528,-2.2115,-2.66435,-2.99695,-2.69889
-7.08587,0.945364,0.364041,3,7,0,7.73476,-1.38844,-3.7518,-1.92687,-4.39742,-1.94779,-2.94092,-1.98181
-4.34995,1,0.364041,3,7,0,8.0071,-1.13041,-3.28175,-2.97471,-3.13523,-2.00855,-2.11272,-2.21633
-10.5748,0.542687,0.364041,3,15,0,17.2342,-2.36079,-2.1448,0.147264,2.36145,-0.50706,-1.44268,0.303423
-6.42305,1,0.364041,3,15,0,14.4476,-1.54329,-0.211737,2.43833,1.70816,-0.546258,-0.106752,-0.241281
-2.70495,0.995759,0.364041,3,7,0,9.31154,1.6415,1.11827,1.28352,-0.680295,1.33666,1.73248,0.657883
-1.90441,0.893619,0.364041,3,15,0,7.20733,-0.586039,-0.265505,-1.36496,-0.0698155,-0.360214,-1.55167,-0.135707
-1.6934,1,0.364041,3,7,0,2.73959,-0.51397,-0.964807,-0.204353,-1.30102,-1.24645,-1.137,-1.26348
-1.9104,0.973238,0.364041,3,7,0,4.74846,-1.18771,-1.10049,-0.81765,-0.376582,-0.364011,0.575437,-0.922974
-3.79529,0.64772,0.364041,3,7,0,7.22111,-0.296835,0.154475,-0.338648,0.0916671,-3.01591,-0.973887,-0.540328
-5.75236,0.824125,0.364041,3,7,0,10.7266,-1.7357,-2.74336,-0.612101,-2.64291,0.575113,0.00193522,-0.731325
-3.84302,0.981806,0.364041,3,7,0,6.98413,-1.18271,-0.536361,-0.954581,0.424683,-2.92026,-1.63848,-0.760017
-2.08792,0.756086,0.364041,3,15,0,7.46671,0.316294,0.0103497,-1.53614,0.25652,-0.0249446,-1.61483,-0.352583
-4.53583,0.865525,0.364041,3,7,0,6.31437,1.36469,0.0543463,-1.81937,0.473626,-0.731189,-2.04216,-0.420164
-2.45342,0.976504,0.364041,2,7,0,5.84013,0.895018,0.23136,-1.08549,-0.100597,-0.72456,-1.69507,-0.132592
-1.93915,0.968363,0.364041,3,7,0,5.26422,0.192611,0.344729,0.0768819,-0.0782482,-0.926318,-1.88729,-0.258286
-2.35432,0.939663,0.364041,3,7,0,3.65445,-1.03848,-0.884333,-0.632584,-0.542574,0.397508,1.31996,0.0767897
-2.63824,0.996227,0.364041,3,7,0,3.07526,0.051155,-0.194212,-0.401048,-0.468427,-1.40302,-2.3369,-0.373528
-4.18504,0.968518,0.364041,3,15,0,7.14323,-3.34526,-0.81571,-0.851258,-2.46582,-2.17431,-0.843026,-1.46804
-2.59076,0.978411,0.364041,4,15,0,6.38831,1.2799,-0.407839,-0.696678,0.453347,0.558548,-1.18792,-0.371001
-2.61438,0.986425,0.364041,3,7,0,4.42675,-1.43389,-1.11129,-0.598542,0.694523,0.439568,0.199411,0.177661
-2.70974,0.988194,0.364041,3,7,0,4.67182,1.22294,1.62374,1.29944,-0.614318,-0.290324,0.0720676,0.789695
-3.06069,0.486612,0.364041,3,7,0,8.62945,0.90927,1.10192,0.15981,-0.803246,0.622344,-0.373088,-0.45108
-4.25278,0.845097,0.364041,3,15,0,6.71891,-1.79449,-1.10271,-0.56155,-0.974174,-1.76691,0.668293,-0.0723304
-2.56297,0.987079,0.364041,3,7,0,8.7649,0.615367,-0.403792,0.0402673,-0.290178,1.16084,-0.0773612,0.836006
-5.40135,0.86827,0.364041,3,7,0,6.94668,0.93595,-0.132133,-0.971685,-0.514167,0.719304,1.80712,-0.615117
-4.02031,0.967445,0.364041,3,7,0,7.57053,-0.745693,-1.14913,0.791434,1.15428,-0.861509,-0.567787,0.501261
-4.68384,0.99731,0.364041,3,7,0,6.82032,0.890525,2.11272,-0.780869,-0.048649,0.988761,1.26673,1.36166
-5.18004,0.998842,0.364041,3,7,0,9.08142,0.870318,0.811295,3.0201,1.78397,0.0563993,1.06315,1.82036
-4.61982,0.986892,0.364041,3,7,0,10.5121,1.83881,0.657778,3.76526,1.2034,1.29615,1.53589,1.83143
-3.76209,0.910698,0.364041,3,7,0,9.18717,2.03223,0.111683,1.53825,2.94784,0.759881,0.287892,1.20808
-2.7402,0.973586,0.364041,3,7,0,5.96197,-0.010023,2.2407,0.139895,-0.385318,1.30556,0.790239,0.803988
-1.71246,0.983039,0.364041,3,7,0,4.86713,0.403884,0.284833,2.15206,0.170113,0.592596,0.791424,0.83561
-5.3289,0.788262,0.364041,3,15,0,7.70887,0.839446,0.32696,-2.19276,0.504367,-1.39296,-1.6495,0.0168948
-4.43074,0.938884,0.364041,3,7,0,6.94325,-0.145965,0.495363,-1.82119,0.49367,-0.874187,-1.04068,-1.20455
-2.94974,0.993022,0.364041,3,7,0,8.65167,-0.252884,0.532768,0.417881,-1.02097,0.213416,0.536152,-0.697629
-4.23834,0.946207,0.364041,3,7,0,7.72294,0.346176,0.391447,-0.93312,1.71482,0.168845,0.617411,-0.493688
-1.52278,1,0.364041,3,7,0,4.66007,0.710284,-0.171269,0.662378,-0.899707,1.08508,0.894369,0.26088
-1.87442,0.837099,0.364041,3,7,0,3.38621,-0.237361,1.07639,0.00746377,0.266249,0.180806,0.272728,0.845541
-3.26148,0.936939,0.364041,2,7,0,4.14386,-0.553054,0.491827,0.893538,1.60898,0.354317,0.125805,-0.30632
-3.27214,0.947354,0.364041,3,7,0,5.68146,1.04364,2.18019,0.274131,0.0454528,-0.0186177,-0.199964,1.03092
-1.36276,0.972636,0.364041,3,7,0,4.3301,-0.500866,-1.7581,0.0558047,-0.205546,-0.32364,-0.181068,-0.173185
-3.86356,0.785495,0.364041,3,7,0,6.5129,1.54102,1.07848,1.19693,-0.853073,-0.812729,-0.540589,0.684576
-4.40856,0.893876,0.364041,3,7,0,12.9092,-0.349595,0.636963,0.231328,2.28509,2.16706,1.92863,1.43264
-8.37539,0.72707,0.364041,5,31,0,12.3207,3.36489,4.10192,4.51747,1.02227,1.69218,2.17524,2.22904
-7.35403,0.97959,0.364041,3,7,0,11.7193,0.702912,1.66225,0.869243,3.24781,2.62936,4.32581,1.70727
