# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = code_7_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\xh4y1tq_.json
# init = 2 (Default)
# random
#   seed = 95995116
# output
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\code_7-202104142101-3-ttjy34fs.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y.1,y.2,y.3,y.4,y.5,y.6,theta
# Adaptation terminated
# Step size = 0.331216
# Diagonal elements of inverse mass matrix:
# 2.21006, 1.92977, 2.04344, 2.07698, 1.94662, 1.92681, 0.948441
-2.52137,0.997187,0.331216,3,7,0,10.9162,-0.257225,-0.379598,0.44074,-1.66256,-0.259132,-1.67679,-0.929804
-7.33806,0.842081,0.331216,3,7,0,9.3423,0.43309,1.65046,-2.10748,-0.0858817,-2.13477,0.808967,0.380266
-3.93489,1,0.331216,3,7,0,9.0497,-0.562341,1.46288,-1.60466,-1.22024,-0.948845,0.933469,-0.40555
-0.72311,0.998907,0.331216,3,7,0,4.9961,-0.357587,0.21921,0.320735,1.12138,-0.228698,0.151682,0.0910678
-3.64269,0.920135,0.331216,3,15,0,4.3784,1.44351,-1.34018,-1.3597,-1.72791,-0.0829694,-0.323503,-0.363659
-4.11783,0.91533,0.331216,3,7,0,10.5283,-3.3861,-1.77384,-1.79858,-1.29802,-2.99798,-2.71516,-2.174
-5.50492,0.874998,0.331216,3,7,0,9.04597,-0.830699,-2.01759,-2.83607,-1.6021,-3.03596,-3.92389,-1.98304
-2.87915,0.985398,0.331216,3,7,0,7.91878,-1.48901,-2.23784,-0.351699,-2.30525,-0.769761,-0.366774,-1.32722
