# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = code_7_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\xh4y1tq_.json
# init = 2 (Default)
# random
#   seed = 95995116
# output
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\code_7-202104142101-4-aq0395pe.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y.1,y.2,y.3,y.4,y.5,y.6,theta
# Adaptation terminated
# Step size = 0.335911
# Diagonal elements of inverse mass matrix:
# 1.86836, 2.02681, 1.93062, 2.07872, 2.07751, 1.8307, 0.984783
-1.86539,1,0.335911,3,7,0,4.92014,-0.528757,0.194026,-2.2187,-0.767542,-0.996967,-0.595929,-0.719554
-4.35934,0.925394,0.335911,3,7,0,5.51412,-0.683565,-0.831722,0.88662,-1.06576,-0.370836,-2.96919,-0.510489
-2.31673,0.999318,0.335911,3,15,0,7.31847,0.678363,1.18874,-0.746946,1.43322,-0.78245,0.0881003,0.2097
-6.73401,0.868321,0.335911,3,7,0,8.29826,-1.69904,-1.17281,1.18087,-2.63509,-0.321818,1.41433,-0.270163
-1.24975,0.991875,0.335911,3,7,0,8.40774,0.257467,-1.20815,0.0833003,-0.507218,-1.29477,-0.546536,-0.633314
-4.36256,0.70515,0.335911,4,19,0,5.76445,-0.204516,1.79274,0.648246,0.619906,1.3857,0.334549,-0.242619
-4.64994,0.878575,0.335911,3,7,0,13.3735,0.187338,-1.60482,0.826914,0.0869493,-0.911187,-0.406819,-1.14472
-3.20417,0.977669,0.335911,4,23,0,12.6033,-0.25083,-0.79404,0.827889,1.19043,0.263189,-0.410023,-0.586247
-3.74917,0.978254,0.335911,3,15,0,5.63086,0.0938685,0.979336,1.27333,-0.901312,0.514993,-0.421542,0.974984
-3.15044,0.904133,0.335911,3,15,0,6.95441,-0.950988,-1.8808,-1.64394,-0.0354723,-1.37453,-0.741506,-0.293135
-4.21199,0.859501,0.335911,3,7,0,6.40176,-1.05534,-0.0659986,-1.99576,-0.882244,-1.83746,0.0812972,-1.56805
-5.9575,0.980118,0.335911,3,7,0,7.73714,-1.54951,-0.439554,-2.7755,-1.62072,-3.07888,0.680371,-1.15453
-2.14466,0.985403,0.335911,3,7,0,8.34948,-1.68666,-1.52186,-1.03284,-2.5605,-1.89402,-0.681719,-1.29151
-3.33511,0.95304,0.335911,3,7,0,4.53837,-2.81039,-1.1621,-0.323251,-2.15387,-0.79346,-0.341193,-1.22941
-3.48469,0.931796,0.335911,3,7,0,5.75178,1.32528,-0.412876,-1.42149,0.610098,-0.462241,-1.28246,-0.644915
-3.15983,0.977027,0.335911,3,15,0,6.54186,-1.62553,-0.447402,-0.0563288,0.0910607,-1.84826,-1.75227,-0.339342
-3.71003,0.972855,0.335911,3,7,0,6.66797,-0.196862,-2.15367,-2.41225,-1.34478,-0.590756,-2.01108,-0.772362
-5.43765,0.967924,0.335911,3,7,0,8.40556,-2.49451,-0.683838,-1.81019,-2.74657,-3.61595,-0.476692,-1.77197
-3.84126,0.874154,0.335911,4,15,0,9.99875,1.12581,-0.0534545,1.7014,0.0262899,2.21595,2.18894,0.609968
-4.28201,0.981549,0.335911,3,7,0,6.80693,0.297773,0.641769,1.59308,0.58767,3.20429,0.960933,1.51468
-4.43158,0.985604,0.335911,4,15,0,7.92044,-1.5687,-2.85086,0.403498,-0.59958,0.0701491,-0.267715,-0.312371
-3.64043,0.759858,0.335911,3,7,0,8.16201,0.599609,1.71218,-1.11335,-0.285236,-1.02887,-0.095252,0.44909
-1.73001,0.98752,0.335911,3,7,0,5.0314,0.597393,-0.751934,1.53623,0.309276,0.237043,1.16639,0.511056
-3.94977,0.841558,0.335911,3,7,0,6.40538,-1.36024,1.38293,-0.65726,-0.236467,0.760268,1.86455,0.181143
-3.60395,0.751462,0.335911,3,15,0,9.64043,1.09993,1.21535,2.19774,-1.23412,0.206773,0.789861,0.737681
-2.71833,0.780438,0.335911,3,15,0,7.9693,0.00725119,0.875992,0.830545,-0.154278,-0.612491,-0.48484,0.760488
-1.3492,0.997821,0.335911,3,7,0,3.9312,0.352201,-0.760309,0.09985,-0.057804,1.47628,0.276166,0.181642
-4.32179,0.915956,0.335911,3,15,0,5.98743,-0.788406,2.27923,-0.349708,1.91099,1.12476,1.50743,0.675042
-2.3866,0.861897,0.335911,3,7,0,8.21917,0.49429,0.695997,1.42878,2.04709,1.96857,1.04021,0.670454
-6.9751,0.85973,0.335911,3,7,0,9.6709,-0.855604,2.52171,-0.894044,-0.102766,1.90916,-0.456067,0.940138
-7.79791,0.788026,0.335911,3,15,0,13.2588,-0.428587,-3.59485,-0.429484,-1.20952,-3.51562,-0.923442,-2.00453
-5.37714,1,0.335911,3,7,0,10.5779,-2.00172,-2.40683,-4.30854,-2.1534,-1.33363,-2.33981,-1.7573
-8.17075,0.915603,0.335911,3,7,0,9.75913,-3.56275,-1.27699,0.148656,-2.35451,-3.80103,-2.28349,-1.42563
-5.79393,0.9033,0.335911,3,7,0,12.4585,-1.62391,-1.73853,-1.42719,-1.47904,-2.81266,-3.269,-2.6007
-5.77319,0.918921,0.335911,2,3,0,7.46698,-2.03433,-1.29116,-2.23538,-2.09097,-3.1613,-3.0242,-1.16742
-7.65099,0.87089,0.335911,3,7,0,9.60299,-2.8399,-3.54162,-2.99525,-3.28067,-2.74558,-2.94385,-1.63234
-3.66964,0.978457,0.335911,2,7,0,10.6241,-1.68817,-1.4234,-1.79485,-2.9363,-3.16264,-1.53811,-2.1146
-3.74964,1,0.335911,3,7,0,4.42019,-1.6163,-1.89872,-1.83141,-3.12078,-3.35179,-1.4721,-1.95608
-3.52385,0.946923,0.335911,3,7,0,7.76242,-2.54535,-2.53063,-2.59153,-0.891829,-1.36313,-2.82669,-1.7612
-2.75964,0.9459,0.335911,3,7,0,6.28342,-2.71929,-2.76376,-1.93031,-1.5217,-2.05642,-2.46006,-1.87843
-2.48965,0.970573,0.335911,3,7,0,4.39274,-2.21563,-2.25901,-2.27178,-1.10088,-0.747192,-1.92766,-1.64284
-6.01595,0.890078,0.335911,3,7,0,7.72015,-0.490632,-2.56512,-2.12798,0.938524,-0.665237,-2.79635,-1.04113
-6.79475,0.784678,0.335911,3,7,0,13.0433,0.635381,-1.2653,-3.35026,-1.14058,0.300761,-1.93566,-0.466202
-8.53905,0.92641,0.335911,3,7,0,13.534,1.95841,-1.22496,-2.28142,-1.3394,-2.59572,-0.082068,-1.3834
-5.88896,0.998533,0.335911,3,15,0,14.732,-1.77272,2.03925,0.891371,1.14015,-1.1645,0.125075,0.600174
-7.1579,0.930065,0.335911,3,7,0,12.6803,-0.576683,0.517341,3.17178,-1.30365,1.4655,1.39549,0.293691
-6.82906,1,0.335911,3,7,0,9.08494,2.45273,1.58998,-1.26374,3.18466,0.773615,0.663141,0.905768
-3.16169,0.969924,0.335911,3,7,0,8.56216,0.103833,-0.195565,2.01695,-1.06429,0.134775,0.280962,0.598019
-3.20078,0.96371,0.335911,3,15,0,9.07124,-2.2082,-0.921005,1.02223,0.175463,0.230643,-0.468425,-0.297561
-0.921524,0.982986,0.335911,3,7,0,5.06055,0.190586,0.764732,1.10839,0.135863,0.387577,-0.5011,0.130991
