# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = code_8_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\srowfxzu.json
# init = 2 (Default)
# random
#   seed = 95995116
# output
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\code_8-202104142101-1-y241fe31.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y.1,y.2,y.3,y.4,y.5,y.6,theta
# Adaptation terminated
# Step size = 0.408591
# Diagonal elements of inverse mass matrix:
# 1.93599, 2.12922, 1.82611, 2.14832, 1.97091, 1.92884, 1.01252
-7.69589,0.808146,0.408591,3,7,0,9.9457,0.267094,-0.679144,0.813483,0.389901,0.699643,1.03024,0.637268
-8.3079,0.656027,0.408591,3,7,0,11.0177,0.639342,0.604944,1.12697,0.891148,0.822353,-0.417859,-0.00823558
-10.087,0.50784,0.408591,2,7,0,13.3227,0.0785003,0.793487,0.85155,0.311527,-0.238624,-0.141053,1.17498
-10.3031,0.767899,0.408591,3,7,0,13.7111,0.807629,0.396217,0.0369655,1.32329,1.60493,1.30364,-0.0786415
-9.80366,0.950768,0.408591,2,7,0,16.2081,0.589386,1.22933,-0.169503,0.516338,2.8014,0.0392391,0.501653
-8.3947,0.950669,0.408591,3,7,0,12.0131,-0.0725242,1.33845,1.09829,0.290849,-0.9451,0.773325,0.534613
-12.0567,0.681118,0.408591,2,3,0,14.564,-1.16578,1.74004,1.9848,0.610166,-1.45587,0.151869,0.625848
-11.3497,0.999027,0.408591,3,7,0,14.1063,2.12733,-0.323531,-0.452427,-0.00210883,2.67719,0.959906,0.455249
-10.938,0.364294,0.408591,3,7,0,17.7994,1.60833,-0.0778056,-1.2288,1.80359,1.63522,0.89501,0.239654
-11.941,0.845465,0.408591,3,15,0,17.2115,1.79715,3.30669,3.53929,0.940916,0.546084,2.20991,1.71991
-9.75309,0.985749,0.408591,3,7,0,13.9022,0.664045,0.419813,1.73967,2.28003,2.82907,1.16084,1.49204
-12.4199,0.897157,0.408591,3,15,0,14.4797,1.60701,-0.0971343,0.150361,2.88536,2.86918,-0.269095,0.96144
-11.5354,0.862812,0.408591,3,7,0,17.2665,0.660014,-0.1822,1.47788,2.57908,2.31206,-0.194863,0.437757
-9.58377,1,0.408591,3,7,0,14.1097,0.714765,-0.621827,0.55454,-1.48825,-0.828817,0.312834,0.38689
-10.8886,0.914806,0.408591,3,15,0,14.7136,-0.185525,-0.574867,-2.22747,-2.05621,-1.16499,-0.88545,-1.80692
-10.7886,0.9845,0.408591,3,7,0,12.1142,-1.4519,-1.21493,0.573203,0.356773,-0.501609,-1.08514,-1.3047
-10.1385,0.853257,0.408591,3,7,0,15.7053,-1.4876,-1.93462,-0.136707,-0.38347,-0.148892,-2.69968,-0.685224
-11.831,0.839606,0.408591,3,7,0,14.705,-2.18578,-0.715133,0.335686,-2.0219,1.13964,-2.09547,-0.822196
-7.45641,0.96954,0.408591,3,7,0,14.2683,-0.251417,-0.6101,-0.624314,-0.754128,-1.05181,0.679555,-0.46612
-9.31692,0.803748,0.408591,3,7,0,12.2822,-0.241027,1.83598,-0.721334,0.396176,0.122553,-1.1483,0.254414
