# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = code_8_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\srowfxzu.json
# init = 2 (Default)
# random
#   seed = 95995116
# output
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\code_8-202104142101-2-ve4x1c1o.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y.1,y.2,y.3,y.4,y.5,y.6,theta
# Adaptation terminated
# Step size = 0.36109
# Diagonal elements of inverse mass matrix:
# 1.68125, 2.16888, 1.95002, 1.91251, 1.97624, 2.07963, 1.00422
-9.75897,0.882135,0.36109,3,7,0,12.6483,0.458087,0.742415,-1.09349,1.35263,1.7082,0.0363403,0.907163
-10.0496,0.513983,0.36109,3,7,0,16.3132,1.46455,1.62218,-0.0257865,-0.165955,-0.0364156,2.55679,0.66645
-9.47268,0.951575,0.36109,3,7,0,15.2509,0.589256,-0.818629,-0.472898,0.288075,1.66197,-1.36808,-0.150558
-9.315,0.608201,0.36109,3,15,0,15.3032,-0.367991,0.776163,-1.7355,0.428126,-0.78739,-1.61415,-0.624004
-9.31176,0.963826,0.36109,3,7,0,13.2179,-0.866571,-1.72608,-1.03211,-2.67374,-1.34137,-0.113135,-1.39762
-10.3539,0.943758,0.36109,3,7,0,11.9974,-2.67361,-1.86303,-2.51581,-1.02853,-2.25397,-3.42983,-2.05843
-10.8003,0.903943,0.36109,3,15,0,16.4397,-1.89838,-1.00377,-1.43268,-0.926649,-1.67572,-3.76879,-1.81604
-13.8384,0.988593,0.36109,3,7,0,15.6601,-2.95726,-3.9491,-3.59404,-4.11569,-3.41661,-1.20641,-2.97641
-10.9293,1,0.36109,3,7,0,15.1229,-3.56565,-1.41735,-2.2431,-2.69401,-3.2946,-2.65515,-2.17755
-9.38371,0.907103,0.36109,3,7,0,12.2402,-1.80227,-1.65073,-2.75112,-1.81406,-2.89466,-2.55805,-2.02484
-8.56987,0.999808,0.36109,3,7,0,9.61941,-2.27408,-1.5351,-2.08109,-2.32747,-2.2125,-2.24971,-1.851
-11.7861,0.893678,0.36109,3,7,0,12.2008,-0.917598,-3.19201,-1.32495,-3.81233,-1.35384,-2.32842,-1.88977
-8.97448,0.98934,0.36109,3,7,0,12.8475,-2.47464,-1.50989,-0.801105,-2.20027,-1.92664,-2.40452,-1.62185
-10.2955,0.768997,0.36109,3,7,0,12.4303,-1.31992,-1.35216,-1.49179,-0.827071,-2.04668,-3.65901,-1.48328
-8.83125,0.928965,0.36109,3,7,0,13.3958,-2.4076,-0.966674,-1.45987,-0.299009,-1.8153,-1.63122,-1.46631
-9.601,0.813262,0.36109,3,7,0,11.7576,-1.97772,-2.18551,-1.4564,-0.568294,-1.38,-3.08351,-1.52513
-9.51738,0.842544,0.36109,3,7,0,12.4864,-1.71871,-0.975994,-1.81662,-2.68567,-1.86664,-0.182384,-1.57306
-10.4659,0.949527,0.36109,3,15,0,14.7906,-1.39375,1.54635,0.5112,-1.25103,-0.714971,-1.46028,-0.170048
-10.9647,0.998581,0.36109,3,7,0,13.528,-0.73816,1.80849,0.0498811,-1.00384,-0.45167,-2.21884,-0.286289
-10.2789,0.70877,0.36109,3,7,0,16.2723,-0.242917,0.453238,-0.0218066,0.363464,-2.71255,-0.630065,-0.704137
-11.0108,0.847344,0.36109,3,7,0,17.008,-1.4566,-2.48718,-0.298002,-2.52014,0.374998,0.0510057,-0.89654
