# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = code_8_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\srowfxzu.json
# init = 2 (Default)
# random
#   seed = 95995116
# output
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\code_8-202104142101-3-f5bcf0_s.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y.1,y.2,y.3,y.4,y.5,y.6,theta
# Adaptation terminated
# Step size = 0.352903
# Diagonal elements of inverse mass matrix:
# 1.74837, 2.08222, 2.06888, 2.0838, 1.9149, 2.00036, 1.02656
-12.3333,0.718793,0.352903,3,7,0,16.2257,0.103319,0.251842,-2.07642,1.74256,-0.700379,1.65489,-0.28923
-9.80097,1,0.352903,2,3,0,13.1777,0.554828,0.491914,-1.99497,0.763624,-0.0832772,1.30275,0.249853
-10.3015,0.948332,0.352903,3,7,0,13.6858,-0.964431,-0.805591,1.87888,-1.01415,0.0390292,-1.53636,-0.24851
-6.94985,0.998761,0.352903,3,15,0,11.8385,0.172577,0.272192,0.272999,1.07032,0.802865,0.782649,0.375495
-9.72974,0.754015,0.352903,3,7,0,10.1185,-0.342823,1.37606,1.11754,-0.395831,1.13513,0.357244,1.14717
-8.56063,0.899623,0.352903,3,7,0,16.3807,-1.40979,0.225018,-1.29514,0.821508,-0.54872,-0.181489,-0.118663
-7.6571,0.999607,0.352903,3,7,0,10.2654,-1.20495,0.168576,-0.0993199,-0.383426,0.818427,0.268066,-0.179472
-9.1034,0.769507,0.352903,3,15,0,12.0112,0.116374,-1.08366,-1.15555,-1.68601,-1.63526,-2.27453,-0.800445
