# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = code_8_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\srowfxzu.json
# init = 2 (Default)
# random
#   seed = 95995116
# output
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\code_8-202104142101-4-jig9ltgr.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y.1,y.2,y.3,y.4,y.5,y.6,theta
# Adaptation terminated
# Step size = 0.344108
# Diagonal elements of inverse mass matrix:
# 1.85773, 2.12036, 1.97649, 2.07735, 1.91918, 1.9262, 1.06251
-12.2851,0.974426,0.344108,3,7,0,15.9412,0.334193,-2.28382,0.338444,-0.201141,-0.307382,-2.2688,0.103222
-11.0554,0.971283,0.344108,3,7,0,19.3299,-1.82819,0.348187,-0.305191,-2.75531,-0.739296,-1.15898,-0.368205
-8.4602,0.993192,0.344108,3,7,0,13.6622,-0.704355,-0.0174369,-2.2735,-1.36708,-1.47409,-1.14536,-0.995508
-9.17244,0.978359,0.344108,3,7,0,9.87605,-0.955683,-0.250603,-2.33822,-1.43098,-2.22718,-0.75485,-1.40525
-12.968,0.821551,0.344108,3,7,0,14.8641,-2.38367,0.0191094,-1.75244,-0.490905,-3.95628,-1.05777,-1.09902
-10.2708,0.928395,0.344108,3,7,0,18.6773,-0.113577,-2.18632,-0.274055,-1.41369,1.14698,-1.35671,-0.443515
-9.33956,0.868844,0.344108,3,7,0,15.7523,0.0448353,-1.97286,-0.98861,-2.00688,-1.8229,-0.18705,-0.74424
-10.107,0.895029,0.344108,3,7,0,15.2722,-2.10514,-0.439647,-1.7489,-0.269639,-0.699068,-2.72862,-0.807592
-10.0244,0.998016,0.344108,3,7,0,12.5224,0.271691,-1.70243,-1.00497,-1.96697,-0.472631,-2.29914,-1.43487
-9.07663,0.999972,0.344108,3,15,0,11.5012,-1.29271,0.389527,0.333921,1.26925,-0.663463,0.59641,-0.288324
-7.96862,0.996899,0.344108,3,15,0,10.34,0.0631188,-0.145208,-0.420089,-1.94256,-0.7339,-0.96817,-0.697704
-8.22628,0.949992,0.344108,3,15,0,11.2619,1.04301,-0.404831,-0.198282,0.175947,0.665826,1.499,0.708837
-7.60608,0.987852,0.344108,3,7,0,9.15591,0.260809,1.53888,0.548888,-0.194068,0.569169,0.289215,0.173764
-12.0686,0.793145,0.344108,3,7,0,15.6867,-1.37529,-0.61734,0.781907,-2.27139,0.745723,1.23493,0.243745
-10.3282,0.99866,0.344108,3,7,0,14.1544,-0.019807,-0.409995,-0.975096,0.659623,-2.57918,-1.83055,-0.670783
-10.6893,0.870797,0.344108,3,7,0,12.983,-1.29608,-0.708459,-0.401787,-1.69285,1.6125,0.824151,0.00746822
-10.2855,1,0.344108,3,7,0,13.9399,-2.00059,0.315632,-0.204668,0.903138,-1.98535,-0.00588641,-0.526368
-10.6066,0.97622,0.344108,3,7,0,14.2585,0.618714,-1.41146,0.953,-1.97924,0.412805,-1.46323,-0.368192
-12.3957,0.937038,0.344108,3,7,0,16.5127,-0.154756,2.37856,-0.259798,2.66973,0.206924,2.64927,1.08918
-11.8672,0.825405,0.344108,3,15,0,19.4003,1.40259,3.84832,3.52393,1.39477,1.66584,2.17358,2.19611
-11.9608,0.950519,0.344108,4,19,0,16.3624,-0.667908,-3.79897,-2.09824,-0.506497,-0.453832,-1.96894,-1.56816
-10.8605,0.961539,0.344108,3,7,0,15.6431,-0.669993,2.23802,0.591247,-0.855089,-1.27577,0.898369,0.104092
-9.3777,0.999678,0.344108,3,7,0,12.8451,-0.321214,-2.2272,0.140045,0.107012,0.258355,-1.62964,-0.525393
-10.6215,0.876224,0.344108,3,7,0,13.4495,-0.780953,-0.550151,-2.69003,0.355315,-0.866315,0.594025,-0.145975
-7.83619,0.995512,0.344108,3,7,0,12.9182,-1.10108,0.117308,0.12551,-1.12813,-0.927243,-1.3772,-0.4588
-11.6696,0.883666,0.344108,3,7,0,12.8584,-3.14312,-2.75802,-1.86748,-0.531939,-1.18023,0.186993,-1.19195
-8.78605,0.939439,0.344108,3,7,0,13.7858,-1.28877,0.00550853,-1.30801,-2.04534,-0.524649,-2.0258,-1.17393
-7.70098,0.916511,0.344108,3,15,0,12.8416,0.575107,-0.429028,0.522839,1.06778,-0.50116,0.601585,0.523647
-8.67248,0.841654,0.344108,3,7,0,11.7118,-0.158093,0.829754,0.0507784,-1.04766,1.03973,0.374669,-0.324614
-9.87656,0.949371,0.344108,3,15,0,13.548,-0.349303,-0.757177,-1.26862,-0.544946,-2.57112,-0.0400434,-1.33063
-9.72254,0.997753,0.344108,3,7,0,11.723,0.165082,-1.04988,-1.5541,-1.04257,-2.30576,-0.316579,-1.3866
-7.23954,0.96527,0.344108,3,7,0,12.3769,-0.88635,-1.19209,-0.872558,-1.2516,0.0088041,-0.810036,-0.717223
-10.0757,0.884358,0.344108,3,7,0,11.0532,-0.897626,-2.53105,0.724399,0.293494,-0.797536,0.226948,-0.506652
-7.41274,0.989557,0.344108,3,7,0,11.0469,-0.179538,-1.55128,-0.355722,-0.739563,-0.468943,-0.329837,-0.755856
-7.22723,0.96545,0.344108,3,7,0,8.79932,-0.562458,-0.309783,-0.129002,-0.64349,-1.23463,0.342497,-0.420999
-9.86095,0.88708,0.344108,3,7,0,11.3591,-0.230442,-1.04531,-1.57226,1.3835,-1.17959,0.511926,-0.518692
-8.57112,0.99733,0.344108,3,15,0,11.5055,0.0435629,0.443807,-1.59297,0.506945,-0.619167,0.508846,0.217911
-11.9393,0.887265,0.344108,3,7,0,13.8539,-1.1686,-1.62717,-0.101012,1.38579,-1.86981,1.15967,-0.682444
-13.6346,0.957183,0.344108,3,15,0,19.1345,-0.355512,-2.06231,0.827435,2.28938,-1.75344,0.61352,-0.373629
-12.6195,0.966897,0.344108,3,7,0,17.8786,0.807594,0.526761,1.17224,-2.00077,2.13507,-0.977778,-0.130311
-8.86579,0.961301,0.344108,3,7,0,14.0755,-0.28166,1.10452,0.237845,1.51294,-0.94328,-0.0082928,-0.0862242
-8.82836,0.792604,0.344108,3,7,0,12.1574,-0.49933,-0.792522,0.585928,1.43744,-0.42656,1.12004,0.429803
-9.91824,0.855464,0.344108,4,15,0,12.8868,-2.1477,-0.766297,-2.00791,-2.9015,-1.04606,-2.63032,-1.47362
-10.0851,0.877629,0.344108,4,23,0,16.7813,1.19303,-1.21919,1.46316,1.75337,0.00783219,1.36402,0.447169
-9.49583,0.973868,0.344108,3,7,0,12.0464,0.689209,1.84445,1.45631,-0.308952,1.42218,-0.600839,0.364031
-10.3429,0.781779,0.344108,3,7,0,17.0258,-0.208872,-0.809125,-0.902039,1.59823,-0.434112,1.46538,-0.36008
-6.98663,1,0.344108,3,7,0,11.046,0.733617,0.896085,0.169464,0.207307,0.00696582,0.624003,0.583647
-8.37437,0.888675,0.344108,2,7,0,10.6456,-0.615729,-0.483393,1.73193,0.212013,0.160953,0.747023,0.358123
-11.6891,0.902708,0.344108,3,7,0,13.6917,-2.41477,-0.331509,1.35113,0.384653,1.05422,-1.28843,-0.261017
-11.8659,0.985171,0.344108,3,15,0,17.1771,-0.557127,-2.10735,-3.93115,-1.11059,-2.57431,-1.03326,-1.56381
-12.8972,0.751336,0.344108,3,7,0,17.6257,-1.96416,-3.05737,-2.55189,-1.55454,-0.894835,-3.14101,-2.71579
-10.9525,1,0.344108,4,15,0,13.7876,-2.37464,-2.17869,-2.04178,-1.91848,-0.754607,-2.50046,-0.947459
-11.771,0.999105,0.344108,3,7,0,13.3905,-2.28353,-2.82732,-0.202591,-0.909115,-1.51189,-1.00241,-2.02411
-9.53082,0.988211,0.344108,3,15,0,15.6188,-0.547122,-0.226077,-0.254185,-1.95026,-1.34096,1.22093,-0.35006
-8.48649,0.690931,0.344108,2,7,0,15.757,-0.513878,-0.508451,0.449419,-1.00573,-0.932283,0.0192273,-0.940178
-8.97542,0.955421,0.344108,3,7,0,12.6808,0.0503398,0.0715495,-0.995008,0.946278,0.398841,-0.699799,-0.636244
-8.08256,0.998976,0.344108,3,7,0,9.9969,-0.043546,0.625538,-0.0853637,-0.633002,-0.593329,1.43619,0.249941
-8.9177,0.891179,0.344108,3,7,0,14.1532,-0.25489,-0.387515,0.761803,-1.33284,-0.940287,-1.98496,-0.536395
-9.60511,0.873222,0.344108,3,15,0,14.7073,-0.0800485,0.250793,-0.931906,1.48424,1.46015,1.83754,0.546899
-7.02697,0.979099,0.344108,3,7,0,11.189,0.637136,1.29773,0.513343,0.906745,0.225447,0.889447,0.698698
-9.69721,0.665128,0.344108,3,7,0,16.0067,0.496576,1.07626,-1.3763,0.91721,-0.245476,0.733722,0.783952
-9.30941,0.985857,0.344108,3,7,0,12.9275,-0.287415,-1.14295,1.09597,-0.905772,0.462336,-0.237456,0.418149
-9.82588,1,0.344108,3,7,0,11.7004,1.02819,1.61023,-0.695969,1.65611,0.0969394,0.727797,1.1881
-8.62933,0.950193,0.344108,3,7,0,14.9361,0.148767,0.83749,-0.0234035,2.16354,0.44589,1.55164,0.869722
-8.85052,0.973265,0.344108,3,15,0,10.8219,1.05865,0.0512498,0.930294,0.67712,1.08159,-1.29888,0.110872
-11.261,0.70005,0.344108,2,3,0,12.9998,1.53212,-0.586813,1.00428,0.564595,0.795911,-1.9317,0.6666
-11.7858,0.973296,0.344108,3,7,0,15.144,2.31712,-0.471509,-0.740718,0.472277,0.345542,-2.05391,0.0149199
-10.8568,0.977624,0.344108,3,7,0,14.3204,-2.17307,0.404632,-0.841084,-1.21872,-0.172584,1.49915,-0.592383
-10.0591,0.988763,0.344108,3,7,0,12.8352,2.18818,-0.315433,0.574725,1.0542,0.204227,-1.07745,0.0574377
-8.98123,0.988729,0.344108,3,15,0,13.4866,-0.882418,0.869277,-1.85628,-0.331018,0.113926,-0.797044,-0.13233
-10.193,0.959021,0.344108,3,7,0,12.4648,1.07599,-0.849311,2.6059,0.452317,-0.123786,1.02092,0.485658
-10.3765,0.833797,0.344108,3,15,0,15.7955,0.9659,3.24028,0.148925,1.84463,2.07632,1.11243,1.44399
-8.66925,0.971637,0.344108,3,7,0,11.5846,1.6893,1.82069,0.371867,2.11455,1.42318,1.82254,1.60072
-10.9685,0.847002,0.344108,4,23,0,13.3308,-2.21062,-1.63322,-3.42367,-1.80121,-2.3706,-1.92735,-2.53532
-8.60098,0.808837,0.344108,3,15,0,15.2503,-1.11487,-0.576861,0.506474,-1.61715,-1.84279,-0.664784,-0.651938
-9.38009,0.963393,0.344108,3,7,0,10.3847,-1.42413,-1.82732,-2.75354,-0.508045,-0.734467,-1.7895,-0.995143
-10.8996,0.968484,0.344108,3,7,0,12.4572,-0.192844,-1.48117,-3.03545,0.38216,-0.989914,-1.31495,-1.3095
-11.0645,0.996518,0.344108,3,7,0,13.2725,-1.40576,0.157793,1.67106,-2.11718,-0.998606,-0.380761,-0.606027
