# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = code_9_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\a5wwscmf.json
# init = 2 (Default)
# random
#   seed = 95995116
# output
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\code_9-202104142101-1-69wb5p3a.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y.1,y.2,y.3,y.4,y.5,y.6,theta
# Adaptation terminated
# Step size = 0.352378
# Diagonal elements of inverse mass matrix:
# 1.77656, 1.81734, 1.75529, 1.87141, 2.0402, 2.09919, 0.915372
-12.4655,0.644273,0.352378,3,7,0,17.8204,0.903549,1.28949,0.053125,2.21176,0.493792,2.97722,1.9403
-11.6206,0.792341,0.352378,4,15,0,19.0214,3.6629,1.55717,1.36907,2.86192,2.6459,2.13006,2.54611
-11.8079,0.838525,0.352378,2,3,0,14.6083,3.29598,0.792698,1.85902,2.36851,2.85513,2.78158,2.5431
-12.6416,0.902392,0.352378,4,23,0,17.8706,-1.43047,-3.41314,-4.03943,-3.17812,-1.80546,-2.10461,-1.89324
-10.6656,0.994625,0.352378,4,15,0,16.3828,-1.09105,-2.60159,-0.941521,-2.62691,-1.74831,-2.72282,-2.19887
-13.6964,0.848355,0.352378,2,3,0,14.387,-1.04592,-2.67557,-0.90853,-2.75279,-2.08951,-2.88744,-2.76509
-11.5318,0.997244,0.352378,3,15,0,18.5266,-1.57055,-0.338972,0.163068,-1.19483,-1.58251,-2.09122,-0.0556786
-8.74097,1,0.352378,2,3,0,12.3966,-1.43514,0.42196,0.222463,-0.243387,-1.39559,-1.60991,-0.671287
-8.80531,0.952575,0.352378,3,7,0,11.3357,0.294761,-1.2652,-1.62473,-0.981276,0.435995,0.491235,-0.439904
-12.6015,0.764202,0.352378,3,7,0,15.2426,-1.79861,-1.70774,0.653164,-2.60939,-1.08063,-2.78128,-0.738233
-10.0954,0.990428,0.352378,3,7,0,14.9696,-1.05969,-0.237571,-2.3743,0.00330796,-0.457173,-0.80909,-1.37297
-11.8789,0.965002,0.352378,3,15,0,15.9935,0.914542,-0.317988,2.88461,-0.552934,0.442897,-1.23587,0.496387
-10.718,1,0.352378,3,15,0,15.2147,-1.88431,-1.25782,-2.83364,-0.0759191,-2.02409,0.243684,-1.08192
-10.6158,0.961125,0.352378,3,7,0,13.8652,0.657389,-0.668863,1.09123,-1.6782,0.236629,-2.06177,-0.304929
-12.7584,0.642075,0.352378,3,7,0,19.2694,1.12077,0.040491,1.40123,-1.60234,-0.0964487,1.52433,-0.532657
