# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = code_9_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\a5wwscmf.json
# init = 2 (Default)
# random
#   seed = 95995116
# output
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\code_9-202104142101-2-1qbqh95k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y.1,y.2,y.3,y.4,y.5,y.6,theta
# Adaptation terminated
# Step size = 0.331398
# Diagonal elements of inverse mass matrix:
# 1.74002, 1.78957, 1.78635, 1.89492, 1.67402, 1.73507, 0.879209
-8.60139,0.998719,0.331398,3,7,0,11.2195,0.100194,0.856327,0.725989,2.51202,0.694076,0.883208,1.01515
-9.20456,0.956998,0.331398,3,15,0,10.939,0.826583,1.58622,2.05433,2.58205,1.15849,0.796939,0.896595
-10.6072,0.951679,0.331398,3,7,0,13.0421,2.72661,1.35921,0.884802,-0.702385,0.739408,0.642655,1.25316
-10.5177,0.968241,0.331398,3,7,0,15.9974,1.51984,0.0333651,1.29222,-0.0475527,2.98664,0.593417,0.589043
-8.65829,0.939063,0.331398,3,7,0,14.6189,0.756566,1.29346,0.880646,2.17128,0.345718,2.24064,1.04445
-9.73807,0.959561,0.331398,3,15,0,12.168,0.324833,-0.814918,2.40107,0.416587,-0.0102004,1.30957,0.615883
-11.2587,0.91222,0.331398,3,7,0,13.1149,0.958576,-0.693155,2.78454,0.116946,-0.357252,1.32167,0.202994
-11.1342,0.988481,0.331398,3,15,0,16.1166,0.82914,-0.00786056,2.05393,-1.6968,1.47492,1.12996,0.713894
-11.4202,0.827991,0.331398,4,15,0,16.1628,-0.129228,-1.33206,-0.435087,-0.182614,1.78394,-0.547813,-0.929335
-10.0593,0.999531,0.331398,4,23,0,14.4999,0.548943,-0.308663,0.0216162,1.00268,-0.376976,2.14963,1.02014
-8.91693,0.998961,0.331398,4,15,0,11.6108,0.625697,0.824763,0.0981804,-0.542765,1.03514,-1.42754,0.364648
-10.9594,0.825962,0.331398,3,7,0,14.0466,-0.117052,-0.779539,-1.18626,-0.442067,-1.16411,2.30937,0.045896
-14.2332,0.848902,0.331398,3,15,0,17.7697,-2.20136,0.336952,-0.937548,-1.8122,-1.8288,-3.84553,-0.765933
-9.88349,1,0.331398,3,7,0,15.4041,-2.44889,-1.76859,-2.25673,-0.968028,-0.866114,-1.76322,-2.02174
-9.51326,0.945668,0.331398,3,7,0,11.392,-0.661522,-1.22323,-0.278681,-1.80477,-1.44172,-0.82141,-1.61588
-10.2566,0.986576,0.331398,3,11,0,11.8024,-2.41399,-1.68641,-1.9066,-1.84311,-2.27546,-2.36304,-1.08066
-13.3343,0.973975,0.331398,3,7,0,14.6805,-1.62675,-0.76639,-1.68817,-4.44806,-1.70007,-2.07672,-2.33941
-9.37669,1,0.331398,3,7,0,14.254,-1.17398,-2.42064,-2.93274,-0.963851,-1.84885,-1.32957,-1.35624
-13.8983,0.651763,0.331398,3,15,0,21.3844,-1.49048,-2.15256,0.557137,2.4316,0.197467,-1.06584,0.162243
-12.1232,0.999057,0.331398,3,15,0,18.3148,-1.46691,-0.539233,2.41084,1.90361,-0.17728,-0.156328,0.3058
-10.1641,0.983229,0.331398,3,7,0,15.3189,-0.435734,0.530806,2.8713,0.026246,0.437524,1.29043,0.77663
-9.41846,0.939013,0.331398,4,15,0,14.5333,-2.0129,-0.968492,0.154399,-2.62767,-1.06512,-1.14828,-1.10304
-8.26373,0.998878,0.331398,3,7,0,10.217,-1.38153,-1.58261,-0.5903,-2.23527,-1.8263,-1.75984,-1.40469
-8.49715,0.93079,0.331398,3,7,0,11.3279,-0.896868,-1.14427,-0.999338,-2.04615,-1.62444,-2.50854,-1.39406
-8.84437,0.956497,0.331398,4,15,0,11.3959,2.07085,0.833817,-0.116311,-0.368512,-0.360134,0.828341,0.509888
-7.36606,0.962195,0.331398,3,7,0,10.6098,0.948064,0.26267,-0.122089,-0.577685,0.361525,-0.468442,0.23649
-8.23133,0.921488,0.331398,3,15,0,9.44711,0.023748,0.49884,0.8211,-1.10487,0.0826591,-0.931652,-0.387536
-9.99931,0.969895,0.331398,3,7,0,11.5109,-1.31312,-1.03369,0.292899,1.50649,1.37343,0.37028,0.325085
-9.52477,0.991485,0.331398,3,7,0,13.4704,-0.79765,-1.63581,0.870822,1.01422,0.877176,0.621896,0.227017
-7.32205,0.995448,0.331398,3,7,0,10.8388,0.494746,0.89013,-0.469665,0.35889,0.707548,1.10764,0.377683
-8.33005,0.951922,0.331398,3,7,0,9.96537,0.986074,2.077,1.36452,0.425088,-0.061499,0.316732,0.616807
-8.94891,0.98405,0.331398,3,7,0,9.70151,0.651135,-0.898681,-0.57296,0.38008,1.41848,1.45346,0.264278
-8.70936,0.915733,0.331398,4,15,0,11.1021,-1.41636,0.249669,0.0879076,-0.972915,-1.52111,-1.71006,-0.55478
-10.8413,0.951966,0.331398,3,7,0,12.5585,-0.234678,-2.60624,-2.5927,-1.1395,-1.07285,0.412234,-0.911761
-12.0437,0.831374,0.331398,3,15,0,15.2804,-0.170642,-2.65065,-1.42184,-0.136675,-2.01958,-0.462816,-1.78752
-8.70019,1,0.331398,3,7,0,13.0358,-0.880177,0.228274,-1.5323,-2.18496,-0.896396,-0.834846,-1.11123
-11.0732,0.920141,0.331398,3,7,0,12.4377,-0.266051,-0.548241,-0.670221,-3.61002,-1.38984,-0.871568,-0.792503
-11.7033,0.984955,0.331398,3,7,0,16.8992,-2.74385,-2.48617,-2.37995,0.6003,-1.77247,-2.00107,-1.34323
-10.1424,1,0.331398,4,15,0,15.1099,1.50395,1.45159,0.608231,-1.16863,1.68374,-0.466025,0.381158
-8.37118,0.979325,0.331398,4,15,0,13.0668,-0.655923,0.73472,0.549508,-0.636234,0.858007,-0.647843,0.41626
-10.749,0.954731,0.331398,3,7,0,12.3814,0.24064,-1.23769,-0.504986,0.397766,1.97051,-1.07495,-0.507566
-8.84531,0.996486,0.331398,3,7,0,13.0538,-0.335041,-0.859322,-0.0268572,-0.0798644,1.47761,-0.713791,-0.510359
-10.6107,0.900734,0.331398,3,7,0,14.495,-3.05095,-0.599636,-0.488335,-1.34212,-1.54896,0.122141,-0.599297
-8.99231,0.987491,0.331398,3,15,0,13.203,0.978504,-1.2655,-1.00327,-1.34,0.317415,0.317494,-0.419006
-9.11515,0.956028,0.331398,3,7,0,10.4532,0.572946,-0.921723,-1.09109,-1.38569,0.428382,0.255776,-0.766171
-9.48244,0.994726,0.331398,4,23,0,11.9998,0.468503,2.02378,2.18157,2.52164,0.790268,0.870257,1.00086
-8.78725,0.999523,0.331398,4,23,0,11.2074,-2.0004,-0.508114,-0.351229,-0.176224,-1.62087,-1.72716,-1.18114
-8.21311,0.984284,0.331398,3,7,0,9.90773,-1.60559,-0.617843,-0.360759,-0.486051,-1.43399,-2.07016,-0.840779
-12.6233,0.748477,0.331398,2,3,0,14.0747,-3.04817,0.38582,0.705484,-1.70618,-1.41496,-2.00164,-1.32397
-10.5217,0.987637,0.331398,3,7,0,16.696,-2.58269,-2.1204,-0.497661,-1.90923,-2.90019,-0.391953,-1.44457
-11.0144,0.923148,0.331398,4,23,0,16.8762,2.13453,2.98829,2.5724,2.29839,1.35527,3.8518,2.29874
-10.5625,0.851822,0.331398,3,7,0,15.6909,1.81787,0.671699,1.45891,3.40832,1.70267,2.25802,1.22781
-8.0769,1,0.331398,5,31,0,11.5936,-0.21076,-1.25302,-0.746721,0.940379,-0.403487,0.500874,-0.12113
-11.5865,0.865963,0.331398,3,7,0,13.5643,-3.09321,-0.499476,0.205353,1.155,-0.426217,-0.0974056,-0.359407
-10.7527,0.999514,0.331398,3,15,0,14.2212,-2.29652,-1.65928,0.292949,1.01355,-0.229059,-1.3632,-0.75678
-8.93691,1,0.331398,2,3,0,10.8668,-1.74645,-1.34879,0.162954,0.705471,-0.57973,-1.29362,-0.617815
-8.50975,0.965224,0.331398,3,7,0,10.6193,1.08142,0.927055,-0.353357,-0.606395,-0.779914,-0.249949,-0.368057
