# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = code_9_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\a5wwscmf.json
# init = 2 (Default)
# random
#   seed = 95995116
# output
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\code_9-202104142101-3-njy9f9dw.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y.1,y.2,y.3,y.4,y.5,y.6,theta
# Adaptation terminated
# Step size = 0.320362
# Diagonal elements of inverse mass matrix:
# 2.06639, 2.04705, 1.77902, 1.93119, 1.79478, 1.91639, 1.02646
-9.17898,0.998808,0.320362,3,7,0,15.9105,-0.948622,0.392938,-0.0111723,-0.56744,1.06929,-1.14609,-0.689742
-8.80847,1,0.320362,3,15,0,10.2612,-0.821078,-0.424265,-0.665937,-1.1522,0.737425,-1.80799,-0.262067
-8.83807,0.992443,0.320362,3,7,0,11.0368,-1.67572,-1.14831,0.274466,-0.234746,-0.284735,-1.62698,-1.04429
-8.58866,0.971978,0.320362,3,7,0,11.5056,0.820644,0.473716,-1.03489,-0.611144,-0.449248,0.775569,-0.411856
-7.30795,0.999892,0.320362,3,15,0,10.0039,0.0210014,-1.00692,-0.415259,-0.836023,-0.852346,0.398683,-0.339685
-7.66775,0.939683,0.320362,4,15,0,8.77205,-0.0884507,1.07415,0.535794,0.932833,0.824049,0.186517,0.900783
-7.89583,0.989962,0.320362,3,7,0,9.21424,0.779509,-0.0403766,0.835169,0.430309,-0.20153,1.21397,0.848589
-8.58864,0.930649,0.320362,3,11,0,11.1149,1.87853,0.764833,1.10689,0.685344,1.82597,2.42033,1.34659
-10.5038,0.758791,0.320362,3,7,0,14.9766,1.82069,-0.440789,1.42575,0.936646,2.34384,1.82543,1.64281
-11.1341,0.996189,0.320362,4,15,0,13.7105,1.55902,3.41024,1.63653,1.55307,0.428951,1.92257,2.05612
-12.0775,0.989842,0.320362,4,23,0,16.2244,-3.93835,-2.40045,-2.90279,-2.9405,-2.36329,-0.937275,-2.53372
-12.8794,0.925893,0.320362,3,7,0,15.6946,-3.01918,-2.84798,-2.98524,-1.78746,-3.21567,-0.0555639,-2.33831
-14.7049,0.937112,0.320362,3,7,0,16.7612,-0.816661,-1.95025,-0.627113,-3.44585,-1.14435,-4.49609,-1.50674
-13.2362,0.965031,0.320362,2,3,0,15.9558,-0.85549,-2.22559,-0.281169,-3.36427,-0.942973,-3.77957,-1.53114
-12.363,0.997301,0.320362,3,15,0,15.9047,-1.12497,-0.14466,-2.04509,0.901483,-0.877266,2.19308,3.50065e-005
-7.90295,0.983288,0.320362,3,7,0,14.3327,0.026254,-0.118021,0.726101,0.553318,-1.35335,0.229362,0.181952
-8.05023,0.994266,0.320362,3,15,0,10.3136,-0.895235,-0.317134,-0.775334,-2.09973,-0.648847,-1.22917,-1.11276
-15.1671,0.742812,0.320362,3,7,0,18.2478,-1.29335,-1.99715,-0.807438,-3.61537,1.66406,-0.969461,-0.553328
-15.6914,0.795295,0.320362,3,15,0,22.4725,-1.12136,-1.56965,0.227761,-3.2937,-0.256701,-1.88563,-2.27419
-8.2991,1,0.320362,3,7,0,16.2014,-1.59969,-1.18032,-1.95122,-0.947064,-1.14258,-0.19208,-1.33141
-13.4652,0.898092,0.320362,3,7,0,14.6472,-2.85233,-1.06339,-2.57316,1.00124,0.603547,-1.50585,-0.681043
-13.6499,1,0.320362,3,7,0,15.963,-2.36632,-0.909217,-2.86202,1.25675,0.33987,-2.10099,-0.910427
-14.2416,0.948913,0.320362,3,7,0,15.5967,0.17259,-1.3084,0.640811,-3.49387,-2.54132,-0.130809,-0.551285
-15.3043,0.952191,0.320362,3,7,0,19.8401,-2.2884,-0.538215,-2.63172,1.56703,0.820706,-1.80175,-0.121966
-10.5255,1,0.320362,3,7,0,17.6009,-2.32405,0.20986,-0.563642,0.460544,0.265087,0.479618,-0.773561
-9.74663,0.991911,0.320362,3,7,0,14.2253,0.639277,-0.927897,1.34556,-0.665738,0.809618,-0.390654,0.700103
-12.3222,0.838835,0.320362,3,7,0,16.396,2.33616,2.10062,-0.166163,0.307557,-1.65858,1.03782,0.732783
-10.8597,0.999395,0.320362,3,7,0,13.7738,-1.29272,-1.37286,0.15044,0.0568331,2.28267,-0.0110758,0.0710029
-9.24883,0.99408,0.320362,3,7,0,11.3807,1.09528,1.40881,-0.286069,-0.0144036,-1.55398,0.173374,0.168186
-9.69186,0.756915,0.320362,3,15,0,12.8863,-0.608859,-0.10832,1.29326,1.36276,0.549115,0.273009,-0.294204
-11.9306,0.959247,0.320362,3,7,0,14.5414,0.551342,-0.182639,-0.112314,-3.07796,0.84241,0.574427,0.0426405
-9.22739,1,0.320362,3,7,0,14.41,-0.772029,-1.6245,-1.76275,0.251457,0.628939,-0.875052,-0.85741
-13.0059,0.685283,0.320362,3,7,0,17.355,-0.0769822,0.66273,-2.31552,-0.656884,-2.81432,-1.58765,-0.309607
