# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = code_9_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\a5wwscmf.json
# init = 2 (Default)
# random
#   seed = 95995116
# output
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\code_9-202104142101-4-t3ysdo5g.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y.1,y.2,y.3,y.4,y.5,y.6,theta
# Adaptation terminated
# Step size = 0.365299
# Diagonal elements of inverse mass matrix:
# 1.90483, 2.02128, 1.88844, 1.85399, 2.06272, 2.21301, 0.9654
-15.5303,0.958053,0.365299,3,7,0,18.6742,-2.30788,1.61692,2.32587,2.55211,2.16826,1.69797,1.1924
-9.89136,0.737763,0.365299,3,7,0,20.1597,0.95477,-1.19182,0.570577,1.72536,1.00878,1.81246,0.930986
-9.4966,0.985114,0.365299,3,7,0,12.3536,1.66267,0.759051,2.5132,0.949996,1.32143,-0.452895,0.826898
-9.77376,0.995941,0.365299,3,7,0,11.4291,0.643767,1.33118,-0.508308,1.34556,1.76168,2.5235,0.866773
-7.37165,0.994313,0.365299,3,15,0,11.7617,0.0134611,-0.563127,0.280471,0.739945,0.280704,-0.650451,0.2635
-7.8686,0.844489,0.365299,3,7,0,14.6763,-0.681071,-0.113205,-0.704659,-1.65865,-0.997488,0.259786,-0.366406
-7.63133,0.905248,0.365299,3,7,0,9.06089,-0.357353,-0.225441,-0.00252541,1.07448,0.504469,-0.810164,-0.124235
-10.5945,0.905988,0.365299,3,15,0,12.8243,2.13128,3.07989,0.929343,0.735617,-0.224997,1.50275,1.05792
-7.51877,0.987535,0.365299,3,7,0,11.482,0.871416,0.513816,0.00755465,0.758428,0.851134,1.5472,0.892662
-8.21421,0.941901,0.365299,3,15,0,10.2866,0.440842,0.505804,0.654005,-0.043028,-0.860029,-1.31317,0.109758
-13.377,0.647322,0.365299,3,7,0,16.2287,0.320248,1.67813,0.406282,0.66743,-3.15059,0.687449,0.0426671
-8.28126,0.997838,0.365299,3,7,0,14.8562,-0.605271,1.18976,0.170308,-0.917496,0.790851,-0.588824,0.107566
-8.17534,0.922446,0.365299,3,15,0,13.3214,-0.180292,1.21236,1.01614,-0.951735,0.200908,0.70819,0.391797
-7.85293,0.942827,0.365299,3,15,0,11.8618,-0.636919,0.316453,-0.399818,-1.41401,-0.525449,-1.27734,-0.824932
-9.01402,0.767476,0.365299,3,7,0,13.2278,-0.68387,-1.67965,-1.34053,-0.109883,-2.49895,-0.451768,-0.818401
-8.20186,0.930601,0.365299,3,7,0,12.5786,-1.88142,-1.30203,-0.309876,-1.54111,-0.878018,-1.80723,-0.892747
-11.6771,0.634498,0.365299,3,7,0,16.3894,-2.07439,-2.79923,-3.79889,-2.56426,-3.12642,-2.23855,-1.84636
-12.7856,0.93236,0.365299,3,7,0,16.728,-3.85975,-2.97646,-1.93043,-2.74904,-1.04661,-1.21112,-2.52877
-14.6776,0.756189,0.365299,3,7,0,18.7313,-3.5804,-2.09677,-4.27213,-0.718393,-1.93811,-3.00281,-1.62765
-10.9015,0.927016,0.365299,3,7,0,19.916,0.118834,-1.50188,0.465972,-2.79272,-1.59414,-0.736704,-0.529061
